cle;valeur
projet;GEFI — Gouvernance économique féminine
zone;Delta du Saloum, Sénégal
traites;Dionewar, Niodior, Falia
controle;Djirnda, Moundé
n_traites;344
n_controle;341
estimateur;MCO ajusté (Plan B — EB non retenu)
logiciel;Python 3.12 + R 4.x
mise_a_jour;23/05/2026
